address,zipcode,type,status,other_status,price,zestimate,festimate,rent_zestimate,beds,baths,area,year,reduction,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"2809 13th Ave S UNIT E-1, Birmingham, AL 35205",35205,CONDO,FOR_SALE,For sale by owner,135000.0,139929,139929,1100,1,1.0,771,1930,,0,5 hours ago,TIME_ON_INFO,80732444,80732444,https://www.zillow.com/homedetails/2809-13th-Ave-S-UNIT-E-1-Birmingham-AL-35205/80732444_zpid/
"649 19th Ave S, Birmingham, AL 35205",35205,SINGLE_FAMILY,FOR_SALE,House for sale,189000.0,189554,189554,1250,3,1.0,1173,1956,,0,7 hours ago,TIME_ON_INFO,1002111,1002111,https://www.zillow.com/homedetails/649-19th-Ave-S-Birmingham-AL-35205/1002111_zpid/
"2809 Dowell Ave SW, Birmingham, AL 35211",35211,SINGLE_FAMILY,FOR_SALE,House for sale,84900.0,,,820,2,1.0,1260,1940,,0,8 hours ago,TIME_ON_INFO,1008249,1008249,https://www.zillow.com/homedetails/2809-Dowell-Ave-SW-Birmingham-AL-35211/1008249_zpid/
"608 Valley Crest Dr, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,55000.0,44813,44813,825,2,2.0,1342,1981,,0,8 hours ago,TIME_ON_INFO,80737746,80737746,https://www.zillow.com/homedetails/608-Valley-Crest-Dr-Birmingham-AL-35215/80737746_zpid/
"1605 Five Acre Rd, Dolomite, AL 35061",35061,SINGLE_FAMILY,FOR_SALE,House for sale,159900.0,,,1335,4,3.0,1907,1987,,0,22 photos,IMAGE_COUNT,1026029,1026029,https://www.zillow.com/homedetails/1605-Five-Acre-Rd-Dolomite-AL-35061/1026029_zpid/
"724 Valley Dr, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,House for sale,199000.0,222732,222732,1250,5,3.0,4310,1968,"$16,000 (Jan 17)",0,22 hours ago,TIME_ON_INFO,969170,969170,https://www.zillow.com/homedetails/724-Valley-Dr-Birmingham-AL-35206/969170_zpid/
"1045 40th St W, Birmingham, AL 35218",35218,SINGLE_FAMILY,FOR_SALE,House for sale,84900.0,,,,3,2.0,1508,1948,,1,1 day on Zillow,DAYS_ON,2081419158,2081419158,https://www.zillow.com/homedetails/1045-40th-St-W-Birmingham-AL-35218/2081419158_zpid/
"773 79th Pl S, Birmingham, AL 35206",35206,SINGLE_FAMILY,FOR_SALE,House for sale,74900.0,47609,47609,750,2,1.0,850,1950,,1,1 day on Zillow,DAYS_ON,174622193,174622193,https://www.zillow.com/homedetails/773-79th-Pl-S-Birmingham-AL-35206/174622193_zpid/
"2121 47th St W, Birmingham, AL 35208",35208,SINGLE_FAMILY,FOR_SALE,House for sale,90000.0,,,825,3,2.0,1976,1949,,1,Video Walkthrough,VIDEO_WALKTHROUGH,2129005857,2129005857,https://www.zillow.com/homedetails/2121-47th-St-W-Birmingham-AL-35208/2129005857_zpid/
"1411 22nd St N, Birmingham, AL 35234",35234,SINGLE_FAMILY,FOR_SALE,House for sale,59900.0,,,795,3,1.0,1634,1920,,1,1 day on Zillow,DAYS_ON,935803,935803,https://www.zillow.com/homedetails/1411-22nd-St-N-Birmingham-AL-35234/935803_zpid/
"3920 38th Ave N, Birmingham, AL 35217",35217,SINGLE_FAMILY,FOR_SALE,For sale by owner,65000.0,,,845,3,2.0,1494,1964,,1,1 day on Zillow,DAYS_ON,954813,954813,https://www.zillow.com/homedetails/3920-38th-Ave-N-Birmingham-AL-35217/954813_zpid/
"4728 3rd Ave S, Birmingham, AL 35222",35222,SINGLE_FAMILY,FOR_SALE,House for sale,199900.0,196540,196540,1450,3,2.0,1240,2008,,1,1 day on Zillow,DAYS_ON,89735106,89735106,https://www.zillow.com/homedetails/4728-3rd-Ave-S-Birmingham-AL-35222/89735106_zpid/
"5108 Terrace M, Birmingham, AL 35208",35208,SINGLE_FAMILY,FOR_SALE,House for sale,55000.0,,,800,3,1.0,1254,1950,,1,1 day on Zillow,DAYS_ON,2086508121,2086508121,https://www.zillow.com/homedetails/5108-Terrace-M-Birmingham-AL-35208/2086508121_zpid/
"1301 Five Mile Rd, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,149900.0,149900,149900,1150,3,3.0,1832,1959,,2,2 days on Zillow,DAYS_ON,905715,905715,https://www.zillow.com/homedetails/1301-Five-Mile-Rd-Birmingham-AL-35215/905715_zpid/
"908 Eastwyck Pl, Birmingham, AL 35215",35215,SINGLE_FAMILY,FOR_SALE,House for sale,189000.0,189000,189000,1195,3,3.0,1872,1978,,2,2 days on Zillow,DAYS_ON,903609,903609,https://www.zillow.com/homedetails/908-Eastwyck-Pl-Birmingham-AL-35215/903609_zpid/
