address,zipcode,type,status,other_status,price,last_sold_price,zestimate,festimate,rent_zestimate,beds,baths,area,year,reduction,tax_assessed_value,tax_assessed_year,mortgage_rate,propert_tax_rate,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"12478 W Nevada Pl APT 207, Lakewood, CO 80228",80228,CONDO,FOR_SALE,Condo for sale,175000.0,134500,169938,169938,1175,1,1.0,435,1982,,87625,2018,3.994,0.63,0,Video Walkthrough,VIDEO_WALKTHROUGH,13776386,13776386,https://www.zillow.com/homedetails/12478-W-Nevada-Pl-APT-207-Lakewood-CO-80228/13776386_zpid/
"3643 S Sheridan Blvd UNIT 24, Lakewood, CO 80235",80235,CONDO,FOR_SALE,Condo for sale,142500.0,70000,134028,134028,999,1,1.0,602,1973,,63472,2018,3.994,0.63,0,17 hours ago,TIME_ON_INFO,13806706,13806706,https://www.zillow.com/homedetails/3643-S-Sheridan-Blvd-UNIT-24-Lakewood-CO-80235/13806706_zpid/
"380 Zang St APT 105, Lakewood, CO 80228",80228,APARTMENT,FOR_SALE,For sale by owner,199900.0,126000,,,1280,1,1.0,840,1980,,152688,2018,3.994,0.63,2,2 days on Zillow,DAYS_ON,13765742,13765742,https://www.zillow.com/homedetails/380-Zang-St-APT-105-Lakewood-CO-80228/13765742_zpid/
"12472 W Nevada Pl APT 209, Lakewood, CO 80228",80228,CONDO,FOR_SALE,Condo for sale,180000.0,133000,177739,177739,1299,1,1.0,680,1982,,110929,2018,3.994,0.63,6,6 days on Zillow,DAYS_ON,13776402,13776402,https://www.zillow.com/homedetails/12472-W-Nevada-Pl-APT-209-Lakewood-CO-80228/13776402_zpid/
"381 S Ames St APT B105, Lakewood, CO 80226",80226,CONDO,PRE_FORECLOSURE,Pre-foreclosure,221175.0,192000,221175,221175,1365,2,2.0,945,1979,,109396,2018,3.994,0.63,10,10 days on Zillow,DAYS_ON,13770435,13770435,https://www.zillow.com/homedetails/381-S-Ames-St-APT-B105-Lakewood-CO-80226/13770435_zpid/
"1060 Vivian St, Lakewood, CO 80401",80401,LOT,FOR_SALE,Lot / Land for sale,199000.0,,,,,,,,-1,,,,3.994,0.63,10,10 days on Zillow,DAYS_ON,2081539527,2081539527,https://www.zillow.com/homedetails/1060-Vivian-St-Lakewood-CO-80401/2081539527_zpid/
"1020 Vivian St, Lakewood, CO 80401",80401,LOT,FOR_SALE,Lot / Land for sale,169000.0,,,,,,,,-1,,,,3.994,0.63,10,10 days on Zillow,DAYS_ON,2081539590,2081539590,https://www.zillow.com/homedetails/1020-Vivian-St-Lakewood-CO-80401/2081539590_zpid/
"3623 S Sheridan Blvd UNIT 10, Lakewood, CO 80235",80235,CONDO,FOR_SALE,Condo for sale,169000.0,69900,168321,168321,1395,2,1.0,808,1973,,74384,2018,3.994,0.63,11,11 days on Zillow,DAYS_ON,13806644,13806644,https://www.zillow.com/homedetails/3623-S-Sheridan-Blvd-UNIT-10-Lakewood-CO-80235/13806644_zpid/
"3623 S Sheridan Blvd UNIT 21, Lakewood, CO 80235",80235,CONDO,FOR_SALE,For sale by owner,169990.0,120000,158684,158684,1395,2,1.0,808,1973,,74384,2018,3.994,0.63,16,16 days on Zillow,DAYS_ON,13806655,13806655,https://www.zillow.com/homedetails/3623-S-Sheridan-Blvd-UNIT-21-Lakewood-CO-80235/13806655_zpid/
"7595 W 22nd Ave, Lakewood, CO 80214",80214,LOT,FOR_SALE,Lot / Land for sale,179900.0,,,,,,,,-1,,101749,2018,3.994,0.63,58,58 days on Zillow,DAYS_ON,249095129,249095129,https://www.zillow.com/homedetails/7595-W-22nd-Ave-Lakewood-CO-80214/249095129_zpid/
