address,zipcode,type,status,other_status,price,zestimate,festimate,rent_zestimate,beds,baths,area,year,price_reduction,price_increase,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"11434 Yolanda Ave, Porter Ranch, CA 91326",91326,SINGLE_FAMILY,FOR_SALE,House for sale,925000.0,892400,,3499,4,3.0,1612,,,,-1,18 hours ago,TIME_ON_INFO,20234653,20234653,https://www.zillow.com/homedetails/11434-Yolanda-Ave-Porter-Ranch-CA-91326/20234653_zpid/
"5101 Whitsett Ave UNIT 106, Valley Village, CA 91607",91607,TOWNHOUSE,FOR_SALE,Townhouse for sale,925000.0,901900,,4020,3,3.0,1839,,,,-1,22 hours ago,TIME_ON_INFO,82235512,82235512,https://www.zillow.com/homedetails/5101-Whitsett-Ave-UNIT-106-Valley-Village-CA-91607/82235512_zpid/
"19533 Victory Blvd, Reseda, CA 91335",91335,SINGLE_FAMILY,FOR_SALE,House for sale,675000.0,745900,,3800,4,2.0,1679,,,,-1,22 hours ago,TIME_ON_INFO,19924639,19924639,https://www.zillow.com/homedetails/19533-Victory-Blvd-Reseda-CA-91335/19924639_zpid/
"17441 Hamlin St, Van Nuys, CA 91406",91406,SINGLE_FAMILY,FOR_SALE,House for sale,899000.0,709900,,3200,3,2.0,1569,,,,-1,22 hours ago,TIME_ON_INFO,19965985,19965985,https://www.zillow.com/homedetails/17441-Hamlin-St-Van-Nuys-CA-91406/19965985_zpid/
"Plan 2542 Plan, Westport at Ponte Vista",90732,SINGLE_FAMILY,FOR_SALE,New construction,1319990.0,,,,5,3.0,2542,,,10000,-1,22 hours ago,TIME_ON_INFO,2067092645,2067092645,https://www.zillow.com/community/westport-at-ponte-vista/2067092645_zpid/
"9931 Garden Grove Ave, Northridge, CA 91325",91325,SINGLE_FAMILY,FOR_SALE,House for sale,1149990.0,970800,,4500,4,3.0,2310,,,,-1,Open: Sun. 1-4pm,OPEN_HOUSE,20167989,20167989,https://www.zillow.com/homedetails/9931-Garden-Grove-Ave-Northridge-CA-91325/20167989_zpid/
"13785 Sproule Ave, Sylmar, CA 91342",91342,SINGLE_FAMILY,FOR_SALE,House for sale,685000.0,641700,,3085,3,2.0,1196,,,,-1,1 day on Zillow,DAYS_ON,20067796,20067796,https://www.zillow.com/homedetails/13785-Sproule-Ave-Sylmar-CA-91342/20067796_zpid/
"1200 Stonewood Ct, San Pedro, CA 90732",90732,TOWNHOUSE,FOR_SALE,Townhouse for sale,679000.0,653200,,3397,2,3.0,1572,,,,-1,Open: Sun. 1-4pm,OPEN_HOUSE,21302845,21302845,https://www.zillow.com/homedetails/1200-Stonewood-Ct-San-Pedro-CA-90732/21302845_zpid/
"1505 W 70th St, Los Angeles, CA 90047",90047,SINGLE_FAMILY,FOR_SALE,House for sale,650000.0,614900,,3028,4,2.0,1174,,,,-1,1 day on Zillow,DAYS_ON,20936032,20936032,https://www.zillow.com/homedetails/1505-W-70th-St-Los-Angeles-CA-90047/20936032_zpid/
"Plan 2443 Plan, Westport at Ponte Vista",90732,SINGLE_FAMILY,FOR_SALE,New construction,1299990.0,,,,5,3.0,2443,,,10000,-1,1 day on Zillow,DAYS_ON,2067092642,2067092642,https://www.zillow.com/community/westport-at-ponte-vista/2067092642_zpid/
"2495 Butler Ave, Los Angeles, CA 90064",90064,SINGLE_FAMILY,FOR_SALE,Coming soon,1476000.0,1333100,,4500,3,2.0,1241,,,,-1,Open: 1/15 1-4pm,OPEN_HOUSE,20464943,20464943,https://www.zillow.com/homedetails/2495-Butler-Ave-Los-Angeles-CA-90064/20464943_zpid/
"2171 Vallecito Dr, San Pedro, CA 90732",90732,SINGLE_FAMILY,FOR_SALE,Coming soon,1499000.0,1334300,,4673,4,3.0,2824,,,,-1,2 days on Zillow,DAYS_ON,21353415,21353415,https://www.zillow.com/homedetails/2171-Vallecito-Dr-San-Pedro-CA-90732/21353415_zpid/
"8369 Sunnybrae Ave, Winnetka, CA 91306",91306,SINGLE_FAMILY,FOR_SALE,House for sale,749000.0,784667,,3599,4,2.0,1479,,,,-1,2 days on Zillow,DAYS_ON,20180475,20180475,https://www.zillow.com/homedetails/8369-Sunnybrae-Ave-Winnetka-CA-91306/20180475_zpid/
"3737 Lowell Ave, Los Angeles, CA 90032",90032,SINGLE_FAMILY,FOR_SALE,House for sale,1190000.0,1136600,,3227,3,2.0,1586,,,,-1,2 days on Zillow,DAYS_ON,20642942,20642942,https://www.zillow.com/homedetails/3737-Lowell-Ave-Los-Angeles-CA-90032/20642942_zpid/
"8621 Forsythe St, Sunland, CA 91040",91040,SINGLE_FAMILY,FOR_SALE,House for sale,649000.0,599800,,2995,3,2.0,1124,,,,-1,2 days on Zillow,DAYS_ON,20093146,20093146,https://www.zillow.com/homedetails/8621-Forsythe-St-Sunland-CA-91040/20093146_zpid/
"23501 Berdon St, Woodland Hills, CA 91367",91367,SINGLE_FAMILY,FOR_SALE,House for sale,1499000.0,1554518,,6658,4,3.0,2814,,,,-1,2 days on Zillow,DAYS_ON,19879733,19879733,https://www.zillow.com/homedetails/23501-Berdon-St-Woodland-Hills-CA-91367/19879733_zpid/
"20518 Michale St, Winnetka, CA 91306",91306,SINGLE_FAMILY,FOR_SALE,House for sale,799000.0,841615,,3994,4,2.0,1971,,,329001,-1,2 days on Zillow,DAYS_ON,20180325,20180325,https://www.zillow.com/homedetails/20518-Michale-St-Winnetka-CA-91306/20180325_zpid/
"5007 Monte Vista St, Los Angeles, CA 90042",90042,SINGLE_FAMILY,FOR_SALE,Coming soon,989900.0,1165000,,4468,3,2.0,1474,,,,-1,2 days on Zillow,DAYS_ON,20762592,20762592,https://www.zillow.com/homedetails/5007-Monte-Vista-St-Los-Angeles-CA-90042/20762592_zpid/
"11952 Culver Dr, Los Angeles, CA 90230",90230,SINGLE_FAMILY,FOR_SALE,Coming soon,1050000.0,1135100,,4599,3,2.0,1145,,,575000,-1,3D Tour,3D_HOME,20439750,20439750,https://www.zillow.com/homedetails/11952-Culver-Dr-Los-Angeles-CA-90230/20439750_zpid/
"5760 Chicopee Ave, Encino, CA 91316",91316,SINGLE_FAMILY,FOR_SALE,Coming soon,995000.0,1050700,,3994,3,2.0,1552,,,,-1,Open: 1/8 1-4pm,OPEN_HOUSE,19977433,19977433,https://www.zillow.com/homedetails/5760-Chicopee-Ave-Encino-CA-91316/19977433_zpid/
"7100 Balboa Blvd UNIT 204, Van Nuys, CA 91406",91406,TOWNHOUSE,FOR_SALE,Townhouse for sale,620000.0,654065,,3147,2,3.0,1580,,,,-1,Open: Sun. 12-3pm,OPEN_HOUSE,19963516,19963516,https://www.zillow.com/homedetails/7100-Balboa-Blvd-UNIT-204-Van-Nuys-CA-91406/19963516_zpid/
"23038 Cohasset St, West Hills, CA 91307",91307,SINGLE_FAMILY,FOR_SALE,House for sale,880000.0,922460,,3650,3,2.0,1573,,,,-1,3 days on Zillow,DAYS_ON,19865996,19865996,https://www.zillow.com/homedetails/23038-Cohasset-St-West-Hills-CA-91307/19865996_zpid/
"15851 Ludlow St, Granada Hills, CA 91344",91344,SINGLE_FAMILY,FOR_SALE,Coming soon,830000.0,773700,,3888,3,2.0,1862,,,,-1,3 days on Zillow,DAYS_ON,20140710,20140710,https://www.zillow.com/homedetails/15851-Ludlow-St-Granada-Hills-CA-91344/20140710_zpid/
"Estate Two Plan, Santa Susana Estates",91311,SINGLE_FAMILY,FOR_SALE,New construction,1999990.0,,,3650,4,4.0,4639,,,255000,-1,3 days on Zillow,DAYS_ON,2068373104,2068373104,https://www.zillow.com/community/santa-susana-estates/2068373104_zpid/
"3640 Berry Dr, Studio City, CA 91604",91604,SINGLE_FAMILY,FOR_SALE,House for sale,1850000.0,1850011,,6936,3,3.0,1938,,,,-1,3 days on Zillow,DAYS_ON,20030643,20030643,https://www.zillow.com/homedetails/3640-Berry-Dr-Studio-City-CA-91604/20030643_zpid/
"17961 Vanowen St, Reseda, CA 91335",91335,SINGLE_FAMILY,FOR_SALE,House for sale,1250000.0,991300,,3719,6,4.0,2554,,,,-1,3 days on Zillow,DAYS_ON,19917378,19917378,https://www.zillow.com/homedetails/17961-Vanowen-St-Reseda-CA-91335/19917378_zpid/
