address,zipcode,type,status,other_status,price,last_sold_price,tax_assessed_value,tax_assessed_year,mortgage_rate,propert_tax_rate,zestimate,festimate,rent_zestimate,beds,baths,area,year,reduction,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"5803 La Costa Dr, Orlando, FL 32807",32807,SINGLE_FAMILY,FOR_SALE,For sale by owner,140000.0,,,,4.062,1.09,,,1490,3,2.0,1125,2005,,0,6 hours ago,TIME_ON_INFO,2085054927,2085054927,https://www.zillow.com/homedetails/5803-La-Costa-Dr-Orlando-FL-32807/2085054927_zpid/
"4261 Pershing Pointe Pl APT 4, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,110000.0,43000,58300,2018,4.681,1.09,109157,109157,1200,2,2.0,1006,1989,,0,7 hours ago,TIME_ON_INFO,84647675,84647675,https://www.zillow.com/homedetails/4261-Pershing-Pointe-Pl-APT-4-Orlando-FL-32822/84647675_zpid/
"3932 Versailles Dr # 3932-B, Orlando, FL 32808",32808,CONDO,FOR_SALE,Condo for sale,97000.0,2090000,58000,2018,4.681,1.09,101540,101540,1269,3,2.0,1348,1982,,0,9 hours ago,TIME_ON_INFO,71083005,71083005,https://www.zillow.com/homedetails/3932-Versailles-Dr-3932-B-Orlando-FL-32808/71083005_zpid/
"5289 Middle Ct # 125, Orlando, FL 32811",32811,CONDO,FOR_SALE,Condo for sale,149000.0,54900,105400,2018,4.062,1.09,151575,151575,1436,2,3.0,1285,1985,,0,11 hours ago,TIME_ON_INFO,46075729,46075729,https://www.zillow.com/homedetails/5289-Middle-Ct-125-Orlando-FL-32811/46075729_zpid/
"2695 Rio Pinar Lakes Blvd Blvd, Orlando, FL 32822",32822,TOWNHOUSE,FOR_SALE,Townhouse for sale,199900.0,,,,4.062,1.09,,,,3,2.0,1128,1983,,0,11 hours ago,TIME_ON_INFO,2081410995,2081410995,https://www.zillow.com/homedetails/2695-Rio-Pinar-Lakes-Blvd-Blvd-Orlando-FL-32822/2081410995_zpid/
"4124 Pershing Pointe Pl APT 2, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,115000.0,97000,58300,2018,4.681,1.09,100963,100963,1200,2,2.0,1006,1989,,0,12 hours ago,TIME_ON_INFO,84647177,84647177,https://www.zillow.com/homedetails/4124-Pershing-Pointe-Pl-APT-2-Orlando-FL-32822/84647177_zpid/
"4234 Player Cir # 122, Orlando, FL 32808",32808,CONDO,FOR_SALE,Condo for sale,135000.0,90000,73500,2018,4.062,1.09,155934,155934,1400,4,3.0,1634,1977,,0,14 hours ago,TIME_ON_INFO,46081919,46081919,https://www.zillow.com/homedetails/4234-Player-Cir-122-Orlando-FL-32808/46081919_zpid/
"4748 Chevy Pl # 159B2L, Orlando, FL 32811",32811,CONDO,FOR_SALE,Condo for sale,170000.0,,,,4.062,1.09,,,,2,2.0,1072,1984,,0,15 hours ago,TIME_ON_INFO,2081414254,2081414254,https://www.zillow.com/homedetails/4748-Chevy-Pl-159B2L-Orlando-FL-32811/2081414254_zpid/
"12020 Villanova Dr APT 101, Orlando, FL 32837",32837,CONDO,FOR_SALE,Foreclosure,189000.0,75000,145100,2018,4.062,1.09,190045,190045,1495,2,3.0,1219,2001,,0,16 hours ago,TIME_ON_INFO,71089071,71089071,https://www.zillow.com/homedetails/12020-Villanova-Dr-APT-101-Orlando-FL-32837/71089071_zpid/
"4801 Normandy Pl # 101, Orlando, FL 32811",32811,CONDO,FOR_SALE,Condo for sale,165000.0,65500,92200,2018,4.062,1.09,147094,147094,1450,3,2.0,1263,1988,,0,Video Walkthrough,VIDEO_WALKTHROUGH,46076459,46076459,https://www.zillow.com/homedetails/4801-Normandy-Pl-101-Orlando-FL-32811/46076459_zpid/
